SETOR;  DISTANCIA GARAGEM A SETOR  (Metros)  ;  DISTANCIA SETOR  AO ATERRO  (Metros)  
1001;7.475;10.893
1002;16.015;11.888
1003;8.416;9.552
1004;11.480;9.997
1005;5.250;13.551
1006;21.125;12.052
1007;6.270;22.567
1008;10.079;12.620
1009;11.050;12.771
1010;6.218;12.927
1011;11.661;16.883
1012;20.470;14.024
1013;4.883;8.047
1014;2.067;4.782
1015;9.033;8.368
1016;10.808;13.301
1017;15.261;3.442
1018;6.644;6.200
1019;9.364;6.033
2001;16.331;18.753
2002;14.793;16.034
2003;14.388;17.565
2004;5.529;15.078
2005;6.751;16.456
2006;4.577;18.447
2007;                                                                 0.050;18.865
2008;3.109;22.414
2009;4.059;22.004
2010;5.038;27.714
2011;3.234;13.707
2012;1.782;17.331
2013;10.903;13.950
3001;                                                                   0.535;19.960
3002;3.308;15.302
3003;3.325;13.286
3004;7.644;8.355
3005;9.075;7.598
3006;11.072;                                                               0.732
3007;12.738;1.800
3008;11.095;7.080
3009;17.688;13.135
3010;13.155;13.025
3011;11.342;17.194
3012;11.747;11.264
3013;16.144;19.890
